File index,Travel time,Path distance,Travel time ratio,Path length ratio,Travel time standard deviation,Computation time
0, 22.333333333333332, 22.333333333333332, 1.0, 1.0,1.247219128924647 0.0
1, 24.333333333333332, 24.333333333333332, 1.0, 1.0,0.4714045207910317 0.0
2, 22.0, 22.0, 1.0, 1.0,1.4142135623730951 0.0
3, 23.666666666666668, 23.666666666666668, 1.0, 1.0,2.0548046676563256 0.0
4, 23.333333333333332, 23.333333333333332, 1.0, 1.0,2.0548046676563256 0.0
5, 24.0, 24.0, 1.0, 1.0,0.816496580927726 0.0
6, 23.0, 22.666666666666668, 1.0151515151515151, 1.0,0.816496580927726 0.0
7, 22.333333333333332, 22.333333333333332, 1.0, 1.0,0.4714045207910317 0.0
8, 25.333333333333332, 25.333333333333332, 1.0, 1.0,2.0548046676563256 0.0
9, 22.0, 22.0, 1.0333333333333334, 1.0333333333333334,0.816496580927726 0.0
